name,address,type,opened,closed,borough,date_approx
Jaybird Books,"408 Jay St, Brooklyn, NY 11201",bookstore,1980,1990,Brooklyn,yes
Tomcat Theater,"424 W 42nd St, New York, NY 10036",cruising-at-movies,1960,1990,Manhattan,yes
Dutchess II,"70 Grove St, New York, NY 10014",bar,1989,1990,Manhattan,yes
"117 Christopher Video, Inc.","117 Christopher St, New York, NY 10014",erotica,1986,1990,Manhattan,yes
Amandia House,"722 St Nicholas Ave, New York, NY 10031",hotel,1986,1990,Manhattan,yes
Ann Street Adult Entertainment Center,"21 Ann St, New York, NY 10038",erotica,1986,1990,Manhattan,yes
Come Again,"353 E 53rd St, New York, NY 10022",erotica,1986,1990,Manhattan,yes
Courageous Books,"250 W 42nd St, New York, NY 10036",erotica,1986,1990,Manhattan,yes
Eve's Garden,"119 W 57th St, New York, NY 10019",erotica,1986,1990,Manhattan,yes
Flushing Adult Books & Video (2nd floor),"36-39 Main St Flushing, NY 11354",erotica,1986,1990,Queens,yes
G & A Books Inc,"251 W 42nd St, New York, NY 10036",erotica,1986,1990,Manhattan,yes
G&D Merchandise,"113 W 42nd St, New York, NY 10036",erotica,1986,1990,Manhattan,yes
Gaiety Male Burlesk,"201 W 46th St, New York, NY 10036",erotica,1975,1990,Manhattan,yes
Gay Treasures,"546 Hudson St, New York, NY 10014",erotica,1986,1990,Manhattan,yes
Gents,"360 W 42nd St, New York, NY 10036",private-club,1986,1990,Manhattan,yes
Harmony Video,"139 Christopher St, New York, NY 10014",erotica,1986,1990,Manhattan,yes
International Film & Video,"453 W 47th St, New York, NY 10036",erotica,1986,1990,Manhattan,yes
New World Video,"201 E 14th St, New York, NY 10003",erotica,1986,1990,Manhattan,yes
Pink Pussycat Boutique,"161 West 4th Street, New York, NY 10014",erotica,1986,1990,Manhattan,yes
Ricky's Place (downstairs),"210 W 42nd St, New York, NY 10036",erotica,1986,1990,Manhattan,yes
Seaport Bed & Breakfast,"27 Peck Slip, New York, NY 10038",hotel,1986,1990,Manhattan,yes
Sentry Uniform Cap,"106 New Lots Ave Brooklyn, NY 11212",erotica,1986,1990,Brooklyn,yes
Show Palace/ SLR Merchandising,"672 8th Ave, New York, NY 10036",erotica,1986,1990,Manhattan,yes
Two-Fifty Book Center,"250 W 42nd St, New York, NY 10036",erotica,1986,1990,Manhattan,yes
World of Video,"178 7th Ave S, New York, NY 10014",erotica,1986,1990,Manhattan,yes
Xtasy Down Under Male Emporium,"691 8th Ave, New York, NY 10036",erotica,1986,1990,Manhattan,yes
Su-Su's Yum Yum,"60 Henry St Brooklyn, NY 11201",bar/restaurant,1986,1990,Brooklyn,yes
Broadway Arms,"218 W 49th St, New York, NY 10019",baths,1967,1991,Manhattan,no
Park Villa II/On Stage,"70 Beach St, Staten Island, NY 10304",club,1979,1991,Staten Island,no
Grove Club,"70 Grove St, New York, NY 10014",bar,1990,1991,Manhattan,no
