name,address,type,opened,closed,borough,date approx.,latitude,longitude
Gilded Grape,"719 8th Ave, New York, NY 10036",restaurant,1970,1977,Manhattan,yes,40.759318374116,-73.988364613461
Hungry Hildas,"709 8th Ave, New York, NY 10036",restaurant,1970,1979,Manhattan,yes,40.758914799908,-73.988655581427
Legend Gallery,"152 7th Ave S, New York, NY 10014",sex shop,1970,1980,Manhattan,yes,40.735223803261,-74.001962869614
Ron Alter Designs,"167 8th Ave, New York, NY 10011",sex shop,1970,1978,Manhattan,yes,40.742539365682,-74.000580763261
Marquis de Suede,"20 W 22nd St, New York, NY 10010",sex shop,1970,1980,Manhattan,yes,40.741098906407,-73.990751757916
Jorge Menendez,"444 Central Park W, New York, NY 10025",sex shop,1970,1978,Manhattan,yes,40.797044372047,-73.960843516682
Hernando's,"9 Christopher St, New York, NY 10014",sex shop,1970,1985,Manhattan,yes,40.734066562113,-74.000111608124
Fire House,"99 Wooster St, New York, NY 10012",activist dances,1971,1974,Manhattan,no,40.724429298536,-74.000991562657
Regent of Tokyo,"251 W 53rd St, New York, NY 10019",bar,1971,1974,Manhattan,yes,40.763825981162,-73.983757863452
Club baths,"24 1st Ave, New York, NY 10009",baths,1971,1985,Manhattan,no,40.723641043139,-73.988097078297
Community Book Stores,"162 Montague St, Brooklyn, NY 11201",bookstore,1971,2025,Brooklyn,no,40.69429019077,-73.992702337998
New David Cinema,"236 W 54th St, New York, NY 10019",cinema,1971,1995,Manhattan,yes,40.764072995309,-73.982720124232
Al Buon Gusto,"257 Columbus Ave, New York, NY 10023",restaurant,1971,1972,Manhattan,yes,40.777266290402,-73.97881645475
Beaded Bag,"951 1st Ave, New York, NY 10022",restaurant,1971,1972,Manhattan,yes,40.755384218421,-73.965140988265
Circus Lounge,"1369 Flatbush Ave, Brooklyn, NY 11210",restaurant,1971,1972,Manhattan,yes,40.6374929318,-73.952524703195
El Mirador,"899 1st Ave, New York, NY 10022",restaurant,1971,1972,Manhattan,yes,40.754046554063,-73.966121422998
Luigi II,"104 W 13th St, New York, NY 10011",restaurant,1971,1972,Manhattan,yes,40.736885397555,-73.998008998247
Male Box,"1716 2nd Avenue, New York, NY 10128",restaurant,1971,1972,Manhattan,yes,40.779833506352,-73.950231873255
One Potato,"518 Hudson St, New York, NY 10014",restaurant,1971,1993,Manhattan,yes,40.733675554274,-74.006226784547
Rafiki,"170 Avenue A, New York, NY 10009",restaurant,1971,1993,Manhattan,yes,40.728344822608,-73.981777822783
Spring Street Restaurant and Bar,"162 Spring St, New York, NY 10012",restaurant,1971,1994,Manhattan,yes,40.724471672489,-74.001908179141
The Striped Shirt,"1393 2nd Ave, New York, NY 10021",restaurant,1971,1972,Manhattan,yes,40.769027070459,-73.95828531873
Troubador,"1078 1st Ave, New York, NY 10022",restaurant,1971,1974,Manhattan,yes,40.759183524895,-73.962197714371
Walter's Apartment,"1068 2nd Ave, New York, NY 10022",bar,1972,1974,Manhattan,yes,40.758777270073,-73.965592415388
Charlie's Also,"1154 1st Ave, New York, NY 10065",bar,1972,NA,Manhattan,,40.762269258825,-73.959950940722
Ruby Foo,"240 W 52nd St, New York, NY 10019",bar,1972,2015,Manhattan,yes,40.763003655481,-73.9840711655
Better Days,"315 W 49th St, New York, NY 10019",bar,1972,1988,Manhattan,no,40.76195796726,-73.987117615425
Bill Bailey's,"492 Bay St, Staten Island, NY 10304",bar,1972,1983,Staten Island,,40.629901348612,-74.076786228583
Dutchess,"70 Grove St, New York, NY 10014",bar,1972,1982,Manhattan,no,40.733241711447,-74.002772103574
Bonnie & Clyde's,"82 W 3rd St, New York, NY 10012",bar,1972,1981,Manhattan,,40.729727284852,-73.998837553922
The Gas Station,"70 Grove St, New York, NY 10014",bar/disco,1972,NA,Manhattan,yes,40.733241711447,-74.002772103574
Man's Country,"28 W 15th St, New York, NY 10011",baths/gym/fantasy rooms,1972,1983,Manhattan,no,40.737019960594,-73.99405891085
Fudge Factory,"308 E 59th St, New York, NY 10022",disco,1972,NA,Manhattan,yes,40.760344625849,-73.963867477687
Mother Courage,"343 W 11th St, New York, NY 10014",restaurant,1972,1977,Manhattan,no,40.735583381925,-74.008215374227
Reno Sweeney,"126 W 13th St, New York, NY 10011",restaurant,1972,1981,Manhattan,no,40.737154911873,-73.998655910375
Uncle Charlie's North,"1049 Lexington Ave, New York, NY 10021",restaurant,1972,1984,Manhattan,yes,40.772152200776,-73.960858718175
Uncle Charlie's South,"581 3rd Ave, New York, NY 10016",restaurant,1972,1988,Manhattan,yes,40.748397880128,-73.976089086613
Le Joint,"120 W 51st St, New York, NY 10019",bar,1973,1974,Manhattan,yes,40.76121483807,-73.981763743813
Ramrod,"394-395 West St, New York, NY 10014",bar,1973,1980,Manhattan,,40.73310135355,-74.010093813546
Beat Goes East,"601 Morris Park Ave, Bronx, NY 10460",bar,1973,NA,Bronx,,40.840944821868,-73.872837082217
Continental Sauna,"111 W 56th St, New York, NY 10019",baths,1973,1976,Manhattan,yes,40.763841109309,-73.977991646188
Le Jardin,"110 West 43rd St, New York, NY 10036",disco,1973,1976,Manhattan,yes,40.75560010094,-73.983972942391
Eagle Leathers,"P.O. Box 441 Canal Street Station, New York, NY. 10013",leather mail order,1973,NA,Manhattan,,40.72412292143,-74.008401563602
Bushes,"23 W 73rd St, New York, NY 10023",restaurant/cabaret,1973,1980,Manhattan,yes,40.777329682097,-73.976314253061
Grand Finale,"210 W 70th St, New York, NY 10023",restaurant,1973,1980,Manhattan,yes,40.777492587536,-73.983210601212
